order_id,customer_id,order_date,product_name,category,quantity,unit_price,line_item_total
ORD-5000,CUST-1094,19-02-2025,Fanta Orange,Carbonated Soft Drinks,3,1.45,4.35
ORD-5000,CUST-1094,19-02-2025,Fairlife Protein Shake,Juices & Plant-Based,12,5,60
ORD-5001,CUST-1013,14-07-2024,Honest Tea Peach,Tea & Coffee,8,2.2,17.6
ORD-5002,CUST-1028,12-04-2024,Minute Maid Orange Juice,Juices & Plant-Based,5,2.5,12.5
ORD-5002,CUST-1028,12-04-2024,Honest Tea Peach,Tea & Coffee,4,2.2,8.8
ORD-5002,CUST-1028,12-04-2024,Sprite,Carbonated Soft Drinks,1,1.45,1.45
ORD-5002,CUST-1028,12-04-2024,Kinley Soda,Hydration,4,1.2,4.8
ORD-5003,CUST-1051,17-06-2024,Honest Tea Peach,Tea & Coffee,2,2.2,4.4
ORD-5003,CUST-1051,17-06-2024,Fairlife Protein Shake,Juices & Plant-Based,5,5,25
ORD-5003,CUST-1051,17-06-2024,Minute Maid Orange Juice,Juices & Plant-Based,11,2.5,27.5
ORD-5004,CUST-1065,23-07-2024,Coca-Cola Classic,Carbonated Soft Drinks,2,1.5,3
ORD-5004,CUST-1065,23-07-2024,Fanta Orange,Carbonated Soft Drinks,3,1.45,4.35
ORD-5004,CUST-1065,23-07-2024,Kinley Water 500ml,Hydration,5,1,5
ORD-5005,CUST-1004,25-02-2024,Minute Maid Orange Juice,Juices & Plant-Based,12,2.5,30
ORD-5005,CUST-1004,25-02-2024,Fairlife Protein Shake,Juices & Plant-Based,6,5,30
ORD-5005,CUST-1004,25-02-2024,Minute Maid Lemonade,Juices & Plant-Based,10,2.25,22.5
ORD-5005,CUST-1004,25-02-2024,Monster Ultra White,Energy Drinks,2,3.75,7.5
ORD-5006,CUST-1049,05-04-2025,Fanta Orange,Carbonated Soft Drinks,1,1.45,1.45
ORD-5006,CUST-1049,05-04-2025,Fairlife 2% Milk,Juices & Plant-Based,7,4.5,31.5
ORD-5007,CUST-1000,23-09-2024,Minute Maid Orange Juice,Juices & Plant-Based,7,2.5,17.5
ORD-5007,CUST-1000,23-09-2024,Diet Coke,Carbonated Soft Drinks,11,1.5,16.5
ORD-5008,CUST-1042,15-11-2024,Kinley Soda,Hydration,2,1.2,2.4
ORD-5008,CUST-1042,15-11-2024,Fairlife 2% Milk,Juices & Plant-Based,5,4.5,22.5
ORD-5008,CUST-1042,15-11-2024,Monster Ultra White,Energy Drinks,5,3.75,18.75
ORD-5009,CUST-1085,28-07-2024,Minute Maid Lemonade,Juices & Plant-Based,12,2.25,27
ORD-5009,CUST-1085,28-07-2024,Fanta Orange,Carbonated Soft Drinks,9,1.45,13.05
ORD-5009,CUST-1085,28-07-2024,Coke Zero Sugar,Carbonated Soft Drinks,4,1.6,6.4
ORD-5010,CUST-1053,06-12-2024,Kinley Soda,Hydration,12,1.2,14.4
ORD-5010,CUST-1053,06-12-2024,Coke Zero Sugar,Carbonated Soft Drinks,10,1.6,16
ORD-5010,CUST-1053,06-12-2024,Kinley Water 500ml,Hydration,5,1,5
ORD-5010,CUST-1053,06-12-2024,Minute Maid Lemonade,Juices & Plant-Based,9,2.25,20.25
ORD-5011,CUST-1000,04-06-2024,Sprite,Carbonated Soft Drinks,7,1.45,10.15
ORD-5011,CUST-1000,04-06-2024,Fairlife Protein Shake,Juices & Plant-Based,10,5,50
ORD-5011,CUST-1000,04-06-2024,Kinley Water 500ml,Hydration,11,1,11
ORD-5012,CUST-1041,26-08-2024,Monster Energy Original,Energy Drinks,11,3.5,38.5
ORD-5012,CUST-1041,26-08-2024,Sprite,Carbonated Soft Drinks,9,1.45,13.05
ORD-5012,CUST-1041,26-08-2024,Monster Energy Original,Energy Drinks,12,3.5,42
ORD-5012,CUST-1041,26-08-2024,Coke Zero Sugar,Carbonated Soft Drinks,11,1.6,17.6
ORD-5013,CUST-1010,25-05-2024,Diet Coke,Carbonated Soft Drinks,4,1.5,6
ORD-5013,CUST-1010,25-05-2024,Kinley Soda,Hydration,5,1.2,6
ORD-5013,CUST-1010,25-05-2024,Sprite,Carbonated Soft Drinks,4,1.45,5.8
ORD-5014,CUST-1018,13-01-2024,Sprite,Carbonated Soft Drinks,8,1.45,11.6
ORD-5015,CUST-1078,11-03-2025,Monster Energy Original,Energy Drinks,7,3.5,24.5
ORD-5016,CUST-1080,21-10-2024,Fairlife 2% Milk,Juices & Plant-Based,12,4.5,54
ORD-5016,CUST-1080,21-10-2024,Minute Maid Lemonade,Juices & Plant-Based,8,2.25,18
ORD-5017,CUST-1051,04-05-2024,Kinley Soda,Hydration,12,1.2,14.4
ORD-5017,CUST-1051,04-05-2024,Coca-Cola Classic,Carbonated Soft Drinks,2,1.5,3
ORD-5018,CUST-1099,05-08-2024,Coke Zero Sugar,Carbonated Soft Drinks,12,1.6,19.2
ORD-5018,CUST-1099,05-08-2024,Monster Ultra White,Energy Drinks,8,3.75,30
ORD-5019,CUST-1006,12-10-2024,Honest Tea Peach,Tea & Coffee,2,2.2,4.4
ORD-5019,CUST-1006,12-10-2024,Monster Energy Original,Energy Drinks,3,3.5,10.5
ORD-5020,CUST-1059,07-12-2024,Fairlife Protein Shake,Juices & Plant-Based,8,5,40
ORD-5020,CUST-1059,07-12-2024,Kinley Water 500ml,Hydration,12,1,12
ORD-5020,CUST-1059,07-12-2024,Monster Ultra White,Energy Drinks,7,3.75,26.25
ORD-5021,CUST-1070,16-08-2024,Fairlife 2% Milk,Juices & Plant-Based,8,4.5,36
ORD-5021,CUST-1070,16-08-2024,Monster Energy Original,Energy Drinks,5,3.5,17.5
ORD-5022,CUST-1096,06-05-2024,Fairlife Protein Shake,Juices & Plant-Based,9,5,45
ORD-5022,CUST-1096,06-05-2024,Monster Energy Original,Energy Drinks,11,3.5,38.5
ORD-5022,CUST-1096,06-05-2024,Sprite,Carbonated Soft Drinks,5,1.45,7.25
ORD-5023,CUST-1056,09-02-2024,Sprite,Carbonated Soft Drinks,5,1.45,7.25
ORD-5023,CUST-1056,09-02-2024,Minute Maid Orange Juice,Juices & Plant-Based,6,2.5,15
ORD-5023,CUST-1056,09-02-2024,Monster Ultra White,Energy Drinks,2,3.75,7.5
ORD-5024,CUST-1017,18-03-2024,Minute Maid Lemonade,Juices & Plant-Based,12,2.25,27
ORD-5024,CUST-1017,18-03-2024,Coke Zero Sugar,Carbonated Soft Drinks,12,1.6,19.2
ORD-5025,CUST-1027,02-02-2024,Minute Maid Lemonade,Juices & Plant-Based,6,2.25,13.5
ORD-5025,CUST-1027,02-02-2024,Monster Ultra White,Energy Drinks,8,3.75,30
ORD-5025,CUST-1027,02-02-2024,Minute Maid Lemonade,Juices & Plant-Based,1,2.25,2.25
ORD-5025,CUST-1027,02-02-2024,Sprite,Carbonated Soft Drinks,7,1.45,10.15
ORD-5026,CUST-1049,08-04-2025,Honest Tea Peach,Tea & Coffee,10,2.2,22
ORD-5027,CUST-1048,01-09-2024,Minute Maid Orange Juice,Juices & Plant-Based,5,2.5,12.5
ORD-5028,CUST-1096,18-07-2024,Monster Ultra White,Energy Drinks,12,3.75,45
ORD-5028,CUST-1096,18-07-2024,Fairlife 2% Milk,Juices & Plant-Based,9,4.5,40.5
